session_id,viewer_id,streamer_id,stream_id,started_at,ended_at,duration_mins,chat_messages_sent,bits_cheered,followed_during,subscribed_during
SES000001,VWR00938,STR0055,SM00860,2024-01-18 19:16:00,2024-01-18 20:28:00,72,0,0,False,False
SES000002,VWR00804,STR0034,SM00542,2024-01-04 17:11:00,2024-01-04 19:41:00,150,11,0,False,False
SES000003,VWR00704,STR0008,SM00124,2024-02-15 15:11:00,2024-02-15 16:53:00,102,5,0,False,False
SES000004,VWR00926,STR0024,SM00373,2024-01-18 19:59:00,2024-01-18 20:56:00,57,3,9663,False,False
SES000005,VWR00883,STR0008,SM00120,2024-03-19 20:08:00,2024-03-19 20:22:00,14,7,0,False,False
SES000006,VWR00860,STR0056,SM00877,2024-01-07 00:41:00,2024-01-07 02:13:00,92,13,0,False,False
SES000007,VWR00925,STR0052,SM00828,2024-01-29 21:41:00,2024-01-30 01:59:00,258,13,0,False,False
SES000008,VWR00519,STR0047,SM00730,2024-03-13 14:52:00,2024-03-13 14:59:00,7,0,0,False,False
SES000009,VWR00901,STR0045,SM00715,2024-02-17 18:42:00,2024-02-17 19:13:00,31,1,0,False,False
SES000010,VWR00869,STR0016,SM00238,2024-02-03 18:07:00,2024-02-03 18:54:00,47,5,0,False,False
SES000011,VWR00812,STR0033,SM00530,2024-03-17 11:00:00,2024-03-17 11:33:00,33,1,0,False,False
SES000012,VWR00424,STR0006,SM00096,2024-03-27 12:29:00,2024-03-27 14:37:00,128,1,0,False,False
SES000013,VWR00839,STR0042,SM00676,2024-01-24 13:53:00,2024-01-24 14:05:00,12,0,0,False,False
SES000014,VWR00633,STR0024,SM00374,2024-03-01 21:30:00,2024-03-01 22:57:00,87,3,3873,False,False
SES000015,VWR00925,STR0030,SM00487,2024-01-07 19:38:00,2024-01-07 20:20:00,42,0,0,False,False
SES000016,VWR00601,STR0012,SM00182,2024-03-12 12:37:00,2024-03-12 13:03:00,26,2,0,False,False
SES000017,VWR00928,STR0020,SM00313,2024-03-20 02:48:00,2024-03-20 03:43:00,55,7,0,False,False
SES000018,VWR00067,STR0061,SM00950,2024-01-05 00:02:00,2024-01-05 02:29:00,147,8,0,True,False
SES000019,VWR00992,STR0057,SM00894,2024-01-11 21:31:00,2024-01-11 23:46:00,135,6,3985,False,False
SES000020,VWR00726,STR0074,SM01179,2024-01-31 13:02:00,2024-01-31 14:07:00,65,4,0,False,False
SES000021,VWR00994,STR0051,SM00792,2024-02-19 12:10:00,2024-02-19 12:46:00,36,5,4638,False,False
SES000022,VWR00846,STR0075,SM01182,2024-03-20 18:00:00,2024-03-20 18:51:00,51,7,0,False,False
SES000023,VWR00722,STR0064,SM01010,2024-03-09 12:11:00,2024-03-09 13:17:00,66,4,0,False,False
SES000024,VWR00979,STR0070,SM01108,2024-02-28 20:44:00,2024-02-28 20:49:00,5,1,0,False,False
SES000025,VWR00616,STR0024,SM00367,2024-03-30 16:15:00,2024-03-30 16:29:00,14,1,0,False,False
SES000026,VWR00387,STR0065,SM01021,2024-03-11 16:06:00,2024-03-11 18:50:00,164,13,0,False,False
SES000027,VWR00959,STR0060,SM00937,2024-01-07 20:20:00,2024-01-07 21:57:00,97,0,6251,False,False
SES000028,VWR00852,STR0066,SM01043,2024-03-25 16:41:00,2024-03-25 16:49:00,8,0,0,False,False
SES000029,VWR00682,STR0005,SM00080,2024-03-21 22:10:00,2024-03-21 22:27:00,17,2,0,False,False
SES000030,VWR00217,STR0021,SM00327,2024-01-31 14:06:00,2024-01-31 14:56:00,50,2,0,False,False
SES000031,VWR00455,STR0054,SM00848,2024-01-23 18:17:00,2024-01-23 21:33:00,196,1,0,False,False
SES000032,VWR00628,STR0067,SM01056,2024-02-08 09:05:00,2024-02-08 11:35:00,150,33,3589,False,False
SES000033,VWR00624,STR0006,SM00100,2024-01-08 21:50:00,2024-01-08 22:13:00,23,5,0,False,False
SES000034,VWR00646,STR0071,SM01132,2024-02-18 23:42:00,2024-02-19 00:58:00,76,4,412,True,False
SES000035,VWR00878,STR0023,SM00358,2024-03-16 11:47:00,2024-03-16 11:55:00,8,0,0,False,False
SES000036,VWR00928,STR0055,SM00864,2024-03-10 08:33:00,2024-03-10 08:46:00,13,0,0,False,False
SES000037,VWR00382,STR0018,SM00271,2024-01-02 21:05:00,2024-01-02 23:08:00,123,0,0,False,False
SES000038,VWR00980,STR0060,SM00936,2024-02-28 09:47:00,2024-02-28 10:52:00,65,7,0,False,False
SES000039,VWR00772,STR0026,SM00412,2024-01-31 14:11:00,2024-01-31 15:06:00,55,2,0,False,False
SES000040,VWR00890,STR0072,SM01137,2024-02-20 18:21:00,2024-02-20 20:01:00,100,12,0,False,False
SES000041,VWR00426,STR0049,SM00766,2024-03-07 14:54:00,2024-03-07 15:31:00,37,7,0,False,False
SES000042,VWR00259,STR0024,SM00368,2024-02-19 13:44:00,2024-02-19 16:10:00,146,3,0,False,False
SES000043,VWR00927,STR0003,SM00047,2024-02-17 12:49:00,2024-02-17 13:27:00,38,0,0,False,False
SES000044,VWR00969,STR0006,SM00098,2024-03-14 20:36:00,2024-03-14 20:46:00,10,0,0,False,False
SES000045,VWR00978,STR0049,SM00759,2024-01-05 23:16:00,2024-01-06 03:12:00,236,47,0,False,False
SES000046,VWR00665,STR0004,SM00069,2024-03-07 08:37:00,2024-03-07 10:09:00,92,15,0,False,False
SES000047,VWR00765,STR0055,SM00859,2024-03-23 12:27:00,2024-03-23 13:05:00,38,1,0,False,False
SES000048,VWR00865,STR0044,SM00695,2024-02-09 16:56:00,2024-02-09 17:26:00,30,1,0,False,False
SES000049,VWR00872,STR0044,SM00701,2024-03-08 12:59:00,2024-03-08 14:29:00,90,9,254,False,False
SES000050,VWR00949,STR0030,SM00475,2024-01-11 15:37:00,2024-01-11 19:24:00,227,7,0,False,False
SES000051,VWR00288,STR0016,SM00254,2024-03-16 12:10:00,2024-03-16 13:26:00,76,6,0,False,False
SES000052,VWR00964,STR0021,SM00335,2024-01-27 22:26:00,2024-01-27 23:55:00,89,4,0,False,False
SES000053,VWR00914,STR0076,SM01192,2024-01-16 16:42:00,2024-01-16 18:26:00,104,1,0,False,False
SES000054,VWR00894,STR0045,SM00712,2024-03-01 16:56:00,2024-03-01 17:31:00,35,0,0,False,False
SES000055,VWR00731,STR0023,SM00364,2024-02-06 14:14:00,2024-02-06 15:10:00,56,8,0,False,False
SES000056,VWR00933,STR0058,SM00901,2024-01-13 22:56:00,2024-01-13 23:15:00,19,2,0,False,False
SES000057,VWR00553,STR0037,SM00601,2024-03-05 14:26:00,2024-03-05 15:23:00,57,1,0,False,False
SES000058,VWR00884,STR0046,SM00727,2024-02-10 22:47:00,2024-02-10 23:36:00,49,1,0,False,False
SES000059,VWR00897,STR0025,SM00387,2024-01-12 13:02:00,2024-01-12 13:45:00,43,3,0,False,False
SES000060,VWR00972,STR0048,SM00743,2024-01-23 12:59:00,2024-01-23 13:53:00,54,5,0,True,False
SES000061,VWR00621,STR0020,SM00311,2024-03-15 14:58:00,2024-03-15 15:13:00,15,1,0,False,False
SES000062,VWR00704,STR0036,SM00583,2024-03-24 18:52:00,2024-03-24 18:58:00,6,0,0,False,False
SES000063,VWR00989,STR0076,SM01199,2024-02-19 08:01:00,2024-02-19 08:14:00,13,0,0,False,False
SES000064,VWR00997,STR0007,SM00106,2024-01-14 11:13:00,2024-01-14 11:40:00,27,0,0,False,False
SES000065,VWR00950,STR0012,SM00179,2024-03-26 19:31:00,2024-03-26 21:40:00,129,16,0,False,False
SES000066,VWR00230,STR0028,SM00448,2024-03-18 22:38:00,2024-03-18 23:42:00,64,2,0,False,False
SES000067,VWR00996,STR0004,SM00054,2024-03-07 22:15:00,2024-03-08 02:21:00,246,10,0,False,False
SES000068,VWR00443,STR0056,SM00885,2024-03-12 22:44:00,2024-03-12 23:26:00,42,2,0,False,False
SES000069,VWR00894,STR0012,SM00182,2024-03-12 13:52:00,2024-03-12 13:59:00,7,0,0,False,False
SES000070,VWR00879,STR0053,SM00830,2024-01-30 16:12:00,2024-01-30 16:14:00,2,0,0,False,False
SES000071,VWR00518,STR0012,SM00188,2024-01-21 13:41:00,2024-01-21 13:47:00,6,1,0,False,False
SES000072,VWR00919,STR0042,SM00664,2024-03-20 18:39:00,2024-03-20 18:48:00,9,0,0,False,False
SES000073,VWR00883,STR0013,SM00195,2024-02-17 17:24:00,2024-02-17 18:38:00,74,10,0,False,True
SES000074,VWR00957,STR0019,SM00289,2024-02-10 22:44:00,2024-02-11 00:09:00,85,1,796,False,False
SES000075,VWR00907,STR0033,SM00527,2024-02-17 09:10:00,2024-02-17 12:44:00,214,13,0,False,False
SES000076,VWR00602,STR0065,SM01023,2024-03-08 22:46:00,2024-03-08 22:50:00,4,0,0,False,False
SES000077,VWR00948,STR0020,SM00310,2024-03-09 09:03:00,2024-03-09 10:54:00,111,14,8137,False,False
SES000078,VWR00863,STR0032,SM00511,2024-03-09 23:18:00,2024-03-09 23:20:00,2,0,0,False,False
SES000079,VWR00697,STR0021,SM00328,2024-01-24 22:51:00,2024-01-24 22:59:00,8,0,0,False,False
SES000080,VWR00925,STR0020,SM00305,2024-01-14 10:47:00,2024-01-14 11:13:00,26,2,0,False,False
SES000081,VWR00922,STR0009,SM00144,2024-01-26 11:55:00,2024-01-26 12:04:00,9,1,0,False,False
SES000082,VWR00493,STR0065,SM01013,2024-01-23 16:23:00,2024-01-23 16:25:00,2,0,0,False,False
SES000083,VWR00472,STR0044,SM00705,2024-03-03 20:09:00,2024-03-03 20:21:00,12,0,4331,False,False
SES000084,VWR00771,STR0067,SM01052,2024-01-29 15:35:00,2024-01-29 15:58:00,23,2,0,False,False
SES000085,VWR00506,STR0070,SM01104,2024-02-09 12:30:00,2024-02-09 13:24:00,54,3,0,False,False
SES000086,VWR00866,STR0045,SM00715,2024-02-17 15:06:00,2024-02-17 18:48:00,222,9,0,False,False
SES000087,VWR00840,STR0012,SM00178,2024-01-16 16:39:00,2024-01-16 16:53:00,14,0,0,False,False
SES000088,VWR00854,STR0006,SM00092,2024-02-26 14:07:00,2024-02-26 14:37:00,30,0,0,False,False
SES000089,VWR00843,STR0008,SM00125,2024-03-10 16:22:00,2024-03-10 16:35:00,13,1,0,False,False
SES000090,VWR00468,STR0045,SM00716,2024-02-14 17:41:00,2024-02-14 17:44:00,3,0,0,False,False
SES000091,VWR00934,STR0071,SM01121,2024-02-29 11:07:00,2024-02-29 12:19:00,72,18,0,False,False
SES000092,VWR00856,STR0076,SM01198,2024-01-02 21:08:00,2024-01-02 21:14:00,6,0,0,False,False
SES000093,VWR00734,STR0033,SM00522,2024-02-27 12:58:00,2024-02-27 15:01:00,123,28,0,False,False
SES000094,VWR00417,STR0008,SM00124,2024-02-15 13:02:00,2024-02-15 18:34:00,332,0,0,False,False
SES000095,VWR00644,STR0010,SM00154,2024-02-10 21:08:00,2024-02-10 21:28:00,20,2,0,False,False
SES000096,VWR00669,STR0013,SM00203,2024-01-22 10:44:00,2024-01-22 10:52:00,8,0,0,False,False
SES000097,VWR00895,STR0024,SM00373,2024-01-18 18:10:00,2024-01-18 20:19:00,129,0,0,False,False
SES000098,VWR00485,STR0071,SM01123,2024-02-14 15:39:00,2024-02-14 18:50:00,191,7,0,False,False
SES000099,VWR00428,STR0052,SM00819,2024-03-19 11:11:00,2024-03-19 11:58:00,47,4,0,False,False
SES000100,VWR00948,STR0020,SM00308,2024-02-18 20:58:00,2024-02-18 21:11:00,13,0,0,False,False
SES000101,VWR00720,STR0012,SM00182,2024-03-12 12:05:00,2024-03-12 13:28:00,83,2,0,False,False
SES000102,VWR00143,STR0057,SM00895,2024-02-25 21:28:00,2024-02-25 21:54:00,26,0,0,False,False
SES000103,VWR00887,STR0072,SM01139,2024-02-16 13:30:00,2024-02-16 14:57:00,87,5,0,False,False
SES000104,VWR00823,STR0061,SM00946,2024-03-24 15:04:00,2024-03-24 17:28:00,144,6,0,False,False
SES000105,VWR00908,STR0003,SM00041,2024-01-02 01:40:00,2024-01-02 01:55:00,15,1,0,False,False
SES000106,VWR00486,STR0073,SM01160,2024-02-13 16:49:00,2024-02-13 17:50:00,61,2,0,False,False
SES000107,VWR00937,STR0017,SM00266,2024-03-26 21:01:00,2024-03-26 22:55:00,114,1,0,False,False
SES000108,VWR00878,STR0057,SM00890,2024-02-09 11:36:00,2024-02-09 13:52:00,136,0,0,False,False
SES000109,VWR00808,STR0043,SM00678,2024-01-22 22:13:00,2024-01-22 22:31:00,18,0,0,False,False
SES000110,VWR00942,STR0075,SM01191,2024-03-09 19:30:00,2024-03-09 19:42:00,12,3,0,False,False
SES000111,VWR00984,STR0009,SM00143,2024-02-07 13:39:00,2024-02-07 13:39:00,0,2,0,False,False
SES000112,VWR00601,STR0053,SM00831,2024-02-23 18:38:00,2024-02-23 18:41:00,3,0,0,False,False
SES000113,VWR00844,STR0061,SM00953,2024-01-03 08:09:00,2024-01-03 15:12:00,423,42,0,False,False
SES000114,VWR00910,STR0004,SM00059,2024-03-22 13:47:00,2024-03-22 15:48:00,121,1,0,False,False
SES000115,VWR00501,STR0014,SM00204,2024-03-12 18:37:00,2024-03-12 21:11:00,154,8,0,False,False
SES000116,VWR00765,STR0034,SM00543,2024-01-11 15:35:00,2024-01-11 15:51:00,16,0,0,False,False
SES000117,VWR00843,STR0039,SM00622,2024-03-04 13:31:00,2024-03-04 13:57:00,26,0,0,False,False
SES000118,VWR00539,STR0056,SM00877,2024-01-06 22:35:00,2024-01-07 00:44:00,129,4,0,False,False
SES000119,VWR00907,STR0074,SM01174,2024-02-05 20:11:00,2024-02-05 20:30:00,19,0,0,False,False
SES000120,VWR00851,STR0013,SM00193,2024-03-04 19:05:00,2024-03-04 19:18:00,13,1,0,False,False
SES000121,VWR00911,STR0014,SM00216,2024-01-24 10:18:00,2024-01-24 11:25:00,67,0,0,False,False
SES000122,VWR00857,STR0013,SM00198,2024-03-14 13:46:00,2024-03-14 14:06:00,20,2,0,False,False
SES000123,VWR00669,STR0017,SM00261,2024-03-05 14:07:00,2024-03-05 16:58:00,171,2,0,False,False
SES000124,VWR00872,STR0010,SM00153,2024-01-08 12:31:00,2024-01-08 12:33:00,2,0,0,False,False
SES000125,VWR00796,STR0024,SM00366,2024-01-13 14:24:00,2024-01-13 14:32:00,8,1,0,False,False
SES000126,VWR00863,STR0047,SM00737,2024-01-15 22:02:00,2024-01-15 22:12:00,10,1,0,False,False
SES000127,VWR00930,STR0018,SM99031,2024-03-10 16:24:00,2024-03-10 18:08:00,104,0,0,False,False
SES000128,VWR00704,STR0066,SM01043,2024-03-25 16:01:00,2024-03-25 16:17:00,16,2,0,False,False
SES000129,VWR00976,STR0053,SM00840,2024-03-11 19:27:00,2024-03-11 19:49:00,22,2,0,False,False
SES000130,VWR00673,STR0010,SM00156,2024-02-29 22:00:00,2024-03-01 00:38:00,158,12,0,False,False
SES000131,VWR00861,STR0039,SM00631,2024-01-14 12:08:00,2024-01-14 13:48:00,100,15,0,False,False
SES000132,VWR00688,STR0064,SM01010,2024-03-09 12:45:00,2024-03-09 13:25:00,40,10,0,False,False
SES000133,VWR00791,STR0013,SM00196,2024-03-17 13:27:00,2024-03-17 16:38:00,191,61,0,False,False
SES000134,VWR00159,STR0023,SM00358,2024-03-16 11:01:00,2024-03-16 11:53:00,52,2,0,False,False
SES000135,VWR00633,STR0005,SM00076,2024-02-17 21:08:00,2024-02-17 21:17:00,9,0,5835,False,False
SES000136,VWR00950,STR0015,SM00231,2024-01-01 18:11:00,2024-01-01 18:40:00,29,1,0,False,False
SES000137,VWR00858,STR0064,SM01007,2024-01-16 16:49:00,2024-01-16 17:55:00,66,6,0,False,False
SES000138,VWR00997,STR0037,SM00597,2024-01-17 21:25:00,2024-01-17 21:38:00,13,0,0,True,False
SES000139,VWR00736,STR0025,SM00391,2024-03-10 18:58:00,2024-03-10 19:11:00,13,10,0,False,False
SES000140,VWR00987,STR0032,SM00509,2024-01-31 15:43:00,2024-01-31 15:54:00,11,1,0,False,False
SES000141,VWR00916,STR0062,SM00972,2024-02-17 17:53:00,2024-02-17 20:06:00,133,4,0,False,False
SES000142,VWR00893,STR0062,SM00960,2024-01-17 00:17:00,2024-01-17 00:41:00,24,3,0,False,False
SES000143,VWR00876,STR0066,SM01043,2024-03-25 14:29:00,2024-03-25 16:18:00,109,40,0,False,False
SES000144,VWR00714,STR0061,SM00946,2024-03-24 16:45:00,2024-03-24 17:02:00,17,0,0,False,False
SES000145,VWR00935,STR0014,SM00214,2024-02-08 15:15:00,2024-02-08 15:48:00,33,9,0,False,False
SES000146,VWR00852,STR0048,SM00744,2024-03-27 11:59:00,2024-03-27 14:50:00,171,7,0,False,False
SES000147,VWR00892,STR0060,SM00943,2024-03-11 18:24:00,2024-03-11 23:32:00,308,112,0,False,False
SES000148,VWR00914,STR0025,SM00389,2024-01-12 18:21:00,2024-01-12 18:27:00,6,0,0,False,False
SES000149,VWR00955,STR0022,SM00348,2024-03-23 16:22:00,2024-03-23 16:39:00,17,1,0,False,False
SES000150,VWR00829,STR0067,SM01060,2024-02-12 15:30:00,2024-02-12 16:27:00,57,5,0,False,False
SES000151,VWR00868,STR0006,SM00102,2024-03-08 17:04:00,2024-03-08 18:47:00,103,16,0,False,False
SES000152,VWR00894,STR0021,SM00321,2024-01-01 11:54:00,2024-01-01 13:08:00,74,0,0,False,False
SES000153,VWR00913,STR0030,SM00474,2024-03-15 10:10:00,2024-03-15 12:11:00,121,13,0,False,False
SES000154,VWR00564,STR0053,SM00830,2024-01-30 16:27:00,2024-01-30 16:37:00,10,0,0,False,False
SES000155,VWR00698,STR0043,SM00686,2024-02-27 22:47:00,2024-02-27 23:12:00,25,1,0,False,False
SES000156,VWR00707,STR0065,SM01019,2024-02-23 17:14:00,2024-02-23 17:29:00,15,0,0,False,False
SES000157,VWR00906,STR0001,SM00004,2024-03-03 18:07:00,2024-03-03 20:06:00,119,3,0,True,False
SES000158,VWR00858,STR0010,SM00151,2024-03-10 22:14:00,2024-03-11 04:50:00,396,21,0,False,False
SES000159,VWR00682,STR0005,SM00085,2024-03-17 23:03:00,2024-03-17 23:08:00,5,0,0,False,False
SES000160,VWR00745,STR0062,SM00960,2024-01-16 21:30:00,2024-01-16 22:18:00,48,2,0,False,False
SES000161,VWR00878,STR0049,SM00763,2024-01-09 18:00:00,2024-01-09 18:36:00,36,1,0,False,False
