stream_id,streamer_id,started_at,ended_at,stream_duration_hrs,category,peak_viewers,title_has_hype_word,was_raid
SM00001,STR0001,2024-02-14 18:00:00,2024-02-14 21:00:00,3.0,Just Chatting,108989.0,False,True
SM00002,STR0001,2024-01-28 18:00:00,2024-01-28 21:00:00,3.0,Just Chatting,51635.0,True,False
SM00003,STR0001,2024-01-31 09:00:00,2024-01-31 16:00:00,7.0,Just Chatting,212127.0,False,False
SM00004,STR0001,2024-03-03 14:00:00,2024-03-03 21:00:00,7.0,Just Chatting,186745.0,False,True
SM00005,STR0001,2024-01-24 18:00:00,2024-01-24 21:00:00,3.0,Just Chatting,87723.0,False,True
SM00006,STR0001,2024-01-09 14:00:00,2024-01-09 17:00:00,3.0,Just Chatting,74062.0,True,False
SM00007,STR0001,2024-03-05 12:00:00,2024-03-05 16:00:00,48.0,Just Chatting,,True,False
SM00008,STR0001,2024-03-18 08:00:00,2024-03-18 13:00:00,5.0,Just Chatting,118974.0,False,False
SM00009,STR0001,2024-01-28 17:00:00,2024-01-28 21:00:00,4.0,Just Chatting,161545.0,True,False
SM00010,STR0001,2024-01-08 19:00:00,2024-01-08 20:30:00,1.5,Just Chatting,131075.0,False,True
SM00011,STR0001,2024-01-17 12:00:00,2024-01-17 14:00:00,2.0,Just Chatting,54715.0,False,False
SM00012,STR0001,2024-02-22 19:00:00,2024-02-23 01:00:00,6.0,Just Chatting,148097.0,False,False
SM00013,STR0001,2024-02-10 13:00:00,2024-02-10 17:00:00,4.0,Just Chatting,38958.0,False,False
SM00014,STR0002,2024-02-07 15:00:00,2024-02-07 20:00:00,5.0,Just Chatting,118.0,True,True
SM00015,STR0002,2024-02-13 18:00:00,2024-02-14 01:00:00,7.0,Just Chatting,324.0,False,False
SM00016,STR0002,2024-02-18 15:00:00,2024-02-18 17:30:00,2.5,Just Chatting,220.0,False,False
SM00017,STR0002,2024-02-16 20:00:00,2024-02-16 21:30:00,1.5,Just Chatting,435.0,False,False
SM00018,STR0002,2024-01-01 21:00:00,2024-01-01 23:00:00,2.0,Just Chatting,317.0,False,False
SM00019,STR0002,2024-01-10 17:00:00,2024-01-10 19:30:00,2.5,Just Chatting,,False,False
SM00020,STR0002,2024-03-06 18:00:00,2024-03-06 23:00:00,5.0,Just Chatting,203.0,False,False
SM00021,STR0002,2024-03-23 22:00:00,2024-03-23 23:30:00,1.5,,317.0,False,True
SM00022,STR0002,2024-02-19 13:00:00,2024-02-19 18:00:00,5.0,,,True,False
SM00023,STR0002,2024-01-29 11:00:00,2024-01-29 13:30:00,2.5,Just Chatting,300.0,True,False
SM00024,STR0002,2024-03-22 11:00:00,2024-03-22 18:00:00,7.0,Just Chatting,183.0,True,False
SM00025,STR0002,2024-01-05 12:00:00,2024-01-05 20:00:00,8.0,Just Chatting,463.0,False,False
SM00026,STR0002,2024-01-09 19:00:00,2024-01-10 01:00:00,6.0,Just Chatting,464.0,False,False
SM00027,STR0002,2024-02-16 15:00:00,2024-02-16 20:00:00,5.0,Just Chatting,364.0,True,False
SM00028,STR0002,2024-02-06 13:00:00,2024-02-06 15:00:00,2.0,Just Chatting,401.0,False,False
SM00029,STR0002,2024-01-24 08:00:00,2024-01-24 10:30:00,2.5,Just Chatting,284.0,True,False
SM00030,STR0002,2024-01-07 20:00:00,2024-01-07 22:30:00,2.5,,154.0,True,False
SM00031,STR0002,2024-02-23 18:00:00,2024-02-23 20:30:00,2.5,Just Chatting,-19.0,False,False
SM00032,STR0002,2024-03-30 19:00:00,2024-03-31 02:00:00,7.0,,294.0,False,False
SM00033,STR0002,2024-01-13 22:00:00,2024-01-14 00:30:00,2.5,Just Chatting,133.0,False,False
SM00034,STR0002,2024-01-02 18:00:00,2024-01-02 20:00:00,2.0,Just Chatting,296.0,True,True
SM00035,STR0003,2024-03-09 16:00:00,2024-03-09 18:30:00,2.5,Just Chatting,43342.0,False,False
SM00036,STR0003,2024-03-05 09:00:00,2024-03-05 11:00:00,2.0,Just Chatting,13269.0,True,False
SM00037,STR0003,2024-02-21 21:00:00,2024-02-22 00:00:00,3.0,Just Chatting,21101.0,False,False
SM00038,STR0003,2024-02-13 15:00:00,2024-02-13 22:00:00,7.0,Just Chatting,20460.0,False,False
SM00039,STR0003,2024-03-27 21:00:00,2024-03-27 22:30:00,1.5,Just Chatting,32339.0,False,False
SM00040,STR0003,2024-02-27 20:00:00,2024-02-27 22:00:00,2.0,Just Chatting,26324.0,True,False
SM00041,STR0003,2024-01-01 22:00:00,2024-01-02 02:00:00,4.0,Just Chatting,49039.0,False,False
SM00042,STR0003,2024-03-13 14:00:00,2024-03-13 19:00:00,5.0,Just Chatting,8588.0,False,False
SM00043,STR0003,2024-02-29 09:00:00,2024-02-29 14:00:00,5.0,Just Chatting,43019.0,False,False
SM00044,STR0003,2024-01-21 13:00:00,2024-01-21 17:00:00,4.0,Just Chatting,46154.0,False,False
SM00045,STR0003,2024-03-08 17:00:00,2024-03-08 20:00:00,3.0,Just Chatting,24338.0,True,True
SM00046,STR0003,2024-02-08 09:00:00,2024-02-08 15:00:00,6.0,Just Chatting,27862.0,True,False
SM00047,STR0003,2024-02-17 11:00:00,2024-02-17 13:30:00,2.5,Just Chatting,,False,False
SM00048,STR0003,2024-03-14 22:00:00,2024-03-15 00:00:00,2.0,Just Chatting,34073.0,True,False
SM00049,STR0003,2024-02-02 10:00:00,2024-02-02 15:00:00,72.0,Just Chatting,21516.0,False,False
SM00050,STR0003,2024-01-13 21:00:00,2024-01-13 23:30:00,2.5,Just Chatting,,False,False
SM00051,STR0003,2024-02-21 10:00:00,2024-02-21 12:00:00,2.0,Just Chatting,8734.0,True,False
